"variable","Overall"
"arrivals_million",100
"stay_days",98.4747709148665
"china_share_pct",75.1648309959613
"monthDec",9.97875346127751
"monthMay",7.61210279827019
"monthNov",7.26677737193983
"monthOct",5.05449737079959
"monthFeb",4.5481866286261
"monthAug",4.08451181114847
"monthJul",3.90826249535715
"monthJun",1.53165036407447
"monthSep",1.49199235283054
"monthMar",1.00949314857569
"monthApr",0
